Branch,Depot,Line,Direction,W,Distance,Lon,Lat
511,77610,193,10,0,195520,137.993293,35.9817972
511,77610,193,10,0,195521,137.99329633,35.98180557
511,77610,193,10,0,195522,137.99329965,35.98181394
511,77610,193,10,0,195523,137.99330298,35.9818223
511,77610,193,10,0,195524,137.99330631,35.98183067
511,77610,193,10,0,195525,137.99330963,35.98183904
511,77610,193,10,0,195526,137.99331296,35.98184741
511,77610,193,10,0,195527,137.99331633,35.98185577
511,77610,193,10,0,195528,137.99331978,35.98186411
511,77610,193,10,0,195529,137.99332323,35.98187245
511,77610,193,10,0,195530,137.99332668,35.98188079
511,77610,193,10,0,195531,137.99333013,35.98188913
511,77610,193,10,0,195532,137.9933336,35.98189746
511,77610,193,10,0,195533,137.99333723,35.98190574
511,77610,193,10,0,195534,137.99334085,35.98191403
511,77610,193,10,0,195535,137.99334448,35.98192231
511,77610,193,10,0,195536,137.99334811,35.98193059
511,77610,193,10,0,195537,137.99335173,35.98193888
511,77610,193,10,0,195538,137.99335545,35.98194713
511,77610,193,10,0,195539,137.99335945,35.9819553
511,77610,193,10,0,195540,137.99336344,35.98196348
511,77610,193,10,0,195541,137.99336743,35.98197165
511,77610,193,10,0,195542,137.99337142,35.98197982
511,77610,193,10,0,195543,137.99337541,35.981988
511,77610,193,10,0,195544,137.99337941,35.98199616
511,77610,193,10,0,195545,137.99338361,35.98200427
511,77610,193,10,0,195546,137.99338781,35.98201238
511,77610,193,10,0,195547,137.99339201,35.98202049
511,77610,193,10,0,195548,137.99339621,35.9820286
511,77610,193,10,0,195549,137.99340041,35.98203671
511,77610,193,10,0,195550,137.99340461,35.98204482
511,77610,193,10,0,195551,137.99340889,35.9820529
511,77610,193,10,0,195552,137.99341318,35.98206097
511,77610,193,10,0,195553,137.99341747,35.98206905
511,77610,193,10,0,195554,137.99342176,35.98207712
511,77610,193,10,0,195555,137.99342605,35.9820852
511,77610,193,10,0,195556,137.99343044,35.98209323
511,77610,193,10,0,195557,137.99343483,35.98210127
511,77610,193,10,0,195558,137.99343923,35.9821093
511,77610,193,10,0,195559,137.99344408,35.98211716
511,77610,193,10,0,195560,137.99344896,35.98212501
511,77610,193,10,0,195561,137.99345384,35.98213285
511,77610,193,10,0,195562,137.99345872,35.9821407
511,77610,193,10,0,195563,137.99346351,35.98214859
511,77610,193,10,0,195564,137.99346831,35.98215648
511,77610,193,10,0,195565,137.99347335,35.98216426
511,77610,193,10,0,195566,137.99347838,35.98217204
511,77610,193,10,0,195567,137.99348341,35.98217982
511,77610,193,10,0,195568,137.99348844,35.98218761
511,77610,193,10,0,195569,137.9934935,35.98219537
511,77610,193,10,0,195570,137.99349889,35.98220301
511,77610,193,10,0,195571,137.99350427,35.98221064
511,77610,193,10,0,195572,137.99350965,35.98221827
511,77610,193,10,0,195573,137.99351504,35.9822259
511,77610,193,10,0,195574,137.99352042,35.98223353
511,77610,193,10,0,195575,137.9935258,35.98224116
511,77610,193,10,0,195576,137.99353118,35.98224879
511,77610,193,10,0,195577,137.99353672,35.98225635
511,77610,193,10,0,195578,137.99354245,35.98226381
511,77610,193,10,0,195579,137.99354817,35.98227127
511,77610,193,10,0,195580,137.9935539,35.98227874
511,77610,193,10,0,195581,137.99355963,35.9822862
511,77610,193,10,0,195582,137.99356536,35.98229366
511,77610,193,10,0,195583,137.99357134,35.98230099
511,77610,193,10,0,195584,137.99357732,35.98230832
511,77610,193,10,0,195585,137.9935833,35.98231565
511,77610,193,10,0,195586,137.99358928,35.98232298
511,77610,193,10,0,195587,137.99359526,35.98233031
511,77610,193,10,0,195588,137.99360125,35.98233763
511,77610,193,10,0,195589,137.99360725,35.98234495
511,77610,193,10,0,195590,137.99361325,35.98235226
511,77610,193,10,0,195591,137.99361926,35.98235957
511,77610,193,10,0,195592,137.99362526,35.98236689
511,77610,193,10,0,195593,137.99363138,35.98237414
511,77610,193,10,0,195594,137.99363785,35.98238119
511,77610,193,10,0,195595,137.99364433,35.98238825
511,77610,193,10,0,195596,137.99365081,35.9823953
511,77610,193,10,0,195597,137.99365729,35.98240236
511,77610,193,10,0,195598,137.99366377,35.98240941
511,77610,193,10,0,195599,137.99367042,35.98241635
511,77610,193,10,0,195600,137.99367707,35.98242329
511,77610,193,10,0,195601,137.99368372,35.98243022
511,77610,193,10,0,195602,137.99369038,35.98243716
511,77610,193,10,0,195603,137.99369703,35.98244409
511,77610,193,10,0,195604,137.9937038,35.98245095
511,77610,193,10,0,195605,137.99371058,35.9824578
511,77610,193,10,0,195606,137.99371737,35.98246465
511,77610,193,10,0,195607,137.99372415,35.9824715
511,77610,193,10,0,195608,137.99373093,35.98247834
511,77610,193,10,0,195609,137.99373777,35.98248515
