Branch,Depot,Line,Direction,W,Distance,Lon,Lat
511,77610,263,10,0,206910,138.0448437,36.0566709
511,77610,263,10,0,206911,138.04483435,36.05666648
511,77610,263,10,0,206912,138.044825,36.05666206
511,77610,263,10,0,206913,138.04481565,36.05665764
511,77610,263,10,0,206914,138.0448063,36.05665322
511,77610,263,10,0,206915,138.04479695,36.0566488
511,77610,263,10,0,206916,138.0447876,36.05664438
511,77610,263,10,0,206917,138.04477825,36.05663996
511,77610,263,10,0,206918,138.0447689,36.05663554
511,77610,263,10,0,206919,138.04475955,36.05663112
511,77610,263,10,0,206920,138.0447502,36.05662669
511,77610,263,10,0,206921,138.04474085,36.05662227
511,77610,263,10,0,206922,138.0447315,36.05661785
511,77610,263,10,0,206923,138.04472215,36.05661343
511,77610,263,10,0,206924,138.04471281,36.05660901
511,77610,263,10,0,206925,138.04470348,36.05660457
511,77610,263,10,0,206926,138.04469414,36.05660013
511,77610,263,10,0,206927,138.04468481,36.0565957
511,77610,263,10,0,206928,138.04467547,36.05659126
511,77610,263,10,0,206929,138.04466614,36.05658682
511,77610,263,10,0,206930,138.04465681,36.05658239
511,77610,263,10,0,206931,138.04464747,36.05657795
511,77610,263,10,0,206932,138.04463814,36.05657351
511,77610,263,10,0,206933,138.0446288,36.05656908
511,77610,263,10,0,206934,138.04461947,36.05656464
511,77610,263,10,0,206935,138.04461013,36.0565602
511,77610,263,10,0,206936,138.0446008,36.05655577
511,77610,263,10,0,206937,138.04459147,36.05655133
511,77610,263,10,0,206938,138.04458213,36.05654689
511,77610,263,10,0,206939,138.0445728,36.05654246
511,77610,263,10,0,206940,138.04456346,36.05653802
511,77610,263,10,0,206941,138.04455413,36.05653358
511,77610,263,10,0,206942,138.0445448,36.05652915
511,77610,263,10,0,206943,138.04453546,36.05652471
511,77610,263,10,0,206944,138.04452613,36.05652027
511,77610,263,10,0,206945,138.04451679,36.05651584
511,77610,263,10,0,206946,138.04450746,36.0565114
511,77610,263,10,0,206947,138.04449813,36.05650696
511,77610,263,10,0,206948,138.04448879,36.05650253
511,77610,263,10,0,206949,138.04447946,36.05649809
511,77610,263,10,0,206950,138.04447012,36.05649365
511,77610,263,10,0,206951,138.04446079,36.05648921
511,77610,263,10,0,206952,138.04445145,36.05648478
511,77610,263,10,0,206953,138.04444211,36.05648034
511,77610,263,10,0,206954,138.04443278,36.0564759
511,77610,263,10,0,206955,138.04442344,36.05647146
511,77610,263,10,0,206956,138.0444141,36.05646702
