Branch,Depot,Line,Direction,W,Distance,Lon,Lat
511,77610,261,10,0,195440,138.1321249,36.02356821
511,77610,261,10,0,195441,138.1321182,36.02357557
511,77610,261,10,0,195442,138.13211149,36.02358294
511,77610,261,10,0,195443,138.13210479,36.0235903
511,77610,261,10,0,195444,138.13209808,36.02359766
511,77610,261,10,0,195445,138.13209138,36.02360503
511,77610,261,10,0,195446,138.13208468,36.02361239
511,77610,261,10,0,195447,138.13207797,36.02361976
511,77610,261,10,0,195448,138.13207127,36.02362712
511,77610,261,10,0,195449,138.13206459,36.0236345
511,77610,261,10,0,195450,138.13205792,36.0236419
511,77610,261,10,0,195451,138.13205125,36.02364929
511,77610,261,10,0,195452,138.13204459,36.02365669
511,77610,261,10,0,195453,138.13203745,36.02366464
511,77610,261,10,0,195454,138.13203009,36.02367281
511,77610,261,10,0,195455,138.13202273,36.02368099
511,77610,261,10,0,195456,138.13201537,36.02368917
511,77610,261,10,0,195457,138.13200802,36.02369735
511,77610,261,10,0,195458,138.13200066,36.02370553
511,77610,261,10,0,195459,138.1319933,36.02371371
511,77610,261,10,0,195460,138.13198594,36.02372189
511,77610,261,10,0,195461,138.13197858,36.02373007
511,77610,261,10,0,195462,138.13197121,36.02373825
511,77610,261,10,0,195463,138.13196385,36.02374642
511,77610,261,10,0,195464,138.13195648,36.0237546
511,77610,261,10,0,195465,138.13194911,36.02376278
511,77610,261,10,0,195466,138.13194175,36.02377096
511,77610,261,10,0,195467,138.13193438,36.02377914
511,77610,261,10,0,195468,138.13192701,36.02378732
511,77610,261,10,0,195469,138.13191965,36.0237955
511,77610,261,10,0,195470,138.13191229,36.02380368
511,77610,261,10,0,195471,138.13190494,36.02381187
511,77610,261,10,0,195472,138.1318976,36.02382006
511,77610,261,10,0,195473,138.13189025,36.02382824
511,77610,261,10,0,195474,138.13188291,36.02383643
511,77610,261,10,0,195475,138.13187557,36.02384462
511,77610,261,10,0,195476,138.13186822,36.02385281
511,77610,261,10,0,195477,138.13186088,36.023861
511,77610,261,10,0,195478,138.13185354,36.02386918
511,77610,261,10,0,195479,138.13184619,36.02387737
511,77610,261,10,0,195480,138.13183885,36.02388556
511,77610,261,10,0,195481,138.13183151,36.02389375
511,77610,261,10,0,195482,138.13182416,36.02390193
511,77610,261,10,0,195483,138.13181682,36.02391012
511,77610,261,10,0,195484,138.13180948,36.02391831
511,77610,261,10,0,195485,138.13180213,36.0239265
511,77610,261,10,0,195486,138.13179479,36.02393468
511,77610,261,10,0,195487,138.1317875,36.02394291
511,77610,261,10,0,195488,138.13178026,36.02395116
511,77610,261,10,0,195489,138.13177302,36.02395942
511,77610,261,10,0,195490,138.13176579,36.02396767
511,77610,261,10,0,195491,138.13175855,36.02397593
511,77610,261,10,0,195492,138.13175131,36.02398419
511,77610,261,10,0,195493,138.13174408,36.02399244
511,77610,261,10,0,195494,138.13173684,36.0240007
511,77610,261,10,0,195495,138.1317296,36.02400896
511,77610,261,10,0,195496,138.13172237,36.02401721
511,77610,261,10,0,195497,138.13171513,36.02402547
511,77610,261,10,0,195498,138.13170791,36.02403373
511,77610,261,10,0,195499,138.13170067,36.02404199
511,77610,261,10,0,195500,138.13169344,36.02405024
511,77610,261,10,0,195501,138.1316862,36.02405849
511,77610,261,10,0,195502,138.13167897,36.02406675
511,77610,261,10,0,195503,138.13167174,36.024075
511,77610,261,10,0,195504,138.1316645,36.02408326
511,77610,261,10,0,195505,138.13165727,36.02409151
511,77610,261,10,0,195506,138.13165003,36.02409976
511,77610,261,10,0,195507,138.1316428,36.02410802
511,77610,261,10,0,195508,138.13163556,36.02411627
511,77610,261,10,0,195509,138.13162833,36.02412453
511,77610,261,10,0,195510,138.13162109,36.02413278
511,77610,261,10,0,195511,138.13161386,36.02414103
511,77610,261,10,0,195512,138.13160663,36.02414929
511,77610,261,10,0,195513,138.13159939,36.02415754
511,77610,261,10,0,195514,138.13159216,36.0241658
511,77610,261,10,0,195515,138.13158492,36.02417405
511,77610,261,10,0,195516,138.13157769,36.0241823
511,77610,261,10,0,195517,138.13157063,36.02419066
511,77610,261,10,0,195518,138.1315636,36.02419902
511,77610,261,10,0,195519,138.13155657,36.02420739
511,77610,261,10,0,195520,138.13154954,36.02421576
511,77610,261,10,0,195521,138.13154251,36.02422413
511,77610,261,10,0,195522,138.13153548,36.0242325
511,77610,261,10,0,195523,138.13152845,36.02424086
511,77610,261,10,0,195524,138.13152142,36.02424923
511,77610,261,10,0,195525,138.1315144,36.0242576
511,77610,261,10,0,195526,138.13150737,36.02426597
511,77610,261,10,0,195527,138.13150034,36.02427434
511,77610,261,10,0,195528,138.13149331,36.0242827
511,77610,261,10,0,195529,138.13148629,36.02429108
511,77610,261,10,0,195530,138.13147929,36.02429947
511,77610,261,10,0,195531,138.13147229,36.02430786
511,77610,261,10,0,195532,138.13146528,36.02431625
511,77610,261,10,0,195533,138.13145818,36.02432457
511,77610,261,10,0,195534,138.13145107,36.02433289
511,77610,261,10,0,195535,138.13144397,36.02434122
511,77610,261,10,0,195536,138.13143686,36.02434954
511,77610,261,10,0,195537,138.13142976,36.02435786
511,77610,261,10,0,195538,138.13142264,36.02436619
511,77610,261,10,0,195539,138.13141552,36.02437451
511,77610,261,10,0,195540,138.1314084,36.02438283
511,77610,261,10,0,195541,138.13140129,36.02439116
511,77610,261,10,0,195542,138.13139417,36.02439948
511,77610,261,10,0,195543,138.13138705,36.0244078
511,77610,261,10,0,195544,138.13137993,36.02441613
511,77610,261,10,0,195545,138.13137281,36.02442445
511,77610,261,10,0,195546,138.13136569,36.02443277
511,77610,261,10,0,195547,138.13135856,36.02444108
511,77610,261,10,0,195548,138.13135143,36.0244494
511,77610,261,10,0,195549,138.13134431,36.02445771
511,77610,261,10,0,195550,138.13133718,36.02446602
511,77610,261,10,0,195551,138.13133005,36.02447434
511,77610,261,10,0,195552,138.13132292,36.02448265
511,77610,261,10,0,195553,138.1313158,36.02449097
511,77610,261,10,0,195554,138.13130867,36.02449928
511,77610,261,10,0,195555,138.13130154,36.02450759
511,77610,261,10,0,195556,138.13129441,36.02451591
511,77610,261,10,0,195557,138.13128728,36.02452422
511,77610,261,10,0,195558,138.13128005,36.02453247
511,77610,261,10,0,195559,138.1312728,36.02454071
511,77610,261,10,0,195560,138.13126556,36.02454896
511,77610,261,10,0,195561,138.13125832,36.0245572
511,77610,261,10,0,195562,138.13125109,36.02456546
511,77610,261,10,0,195563,138.13124389,36.02457373
511,77610,261,10,0,195564,138.13123668,36.024582
511,77610,261,10,0,195565,138.13122948,36.02459027
511,77610,261,10,0,195566,138.13122228,36.02459854
511,77610,261,10,0,195567,138.13121508,36.02460682
511,77610,261,10,0,195568,138.13120801,36.02461493
511,77610,261,10,0,195569,138.13120215,36.02462165
511,77610,261,10,0,195570,138.13119625,36.02462834
511,77610,261,10,0,195571,138.13119023,36.02463497
511,77610,261,10,0,195572,138.13118422,36.02464159
511,77610,261,10,0,195573,138.1311782,36.02464821
511,77610,261,10,0,195574,138.13117219,36.02465483
511,77610,261,10,0,195575,138.13116617,36.02466145
511,77610,261,10,0,195576,138.13116015,36.02466807
511,77610,261,10,0,195577,138.13115414,36.02467469
511,77610,261,10,0,195578,138.13114812,36.02468131
511,77610,261,10,0,195579,138.13114211,36.02468793
511,77610,261,10,0,195580,138.13113609,36.02469455
511,77610,261,10,0,195581,138.13113007,36.02470117
511,77610,261,10,0,195582,138.13112406,36.0247078
511,77610,261,10,0,195583,138.13111804,36.02471442
511,77610,261,10,0,195584,138.13111202,36.02472104
511,77610,261,10,0,195585,138.13110601,36.02472766
511,77610,261,10,0,195586,138.13109999,36.02473428
511,77610,261,10,0,195587,138.13109394,36.02474088
511,77610,261,10,0,195588,138.1310879,36.02474749
511,77610,261,10,0,195589,138.13108185,36.02475409
511,77610,261,10,0,195590,138.13107581,36.0247607
511,77610,261,10,0,195591,138.13106977,36.0247673
511,77610,261,10,0,195592,138.13106372,36.02477391
511,77610,261,10,0,195593,138.13105768,36.02478051
511,77610,261,10,0,195594,138.13105164,36.02478712
511,77610,261,10,0,195595,138.1310456,36.02479372
511,77610,261,10,0,195596,138.13103955,36.02480033
511,77610,261,10,0,195597,138.13103351,36.02480693
511,77610,261,10,0,195598,138.13102747,36.02481353
511,77610,261,10,0,195599,138.13102143,36.02482014
511,77610,261,10,0,195600,138.13101539,36.02482674
511,77610,261,10,0,195601,138.13100934,36.02483335
511,77610,261,10,0,195602,138.1310033,36.02483995
511,77610,261,10,0,195603,138.13099726,36.02484656
511,77610,261,10,0,195604,138.13099122,36.02485316
511,77610,261,10,0,195605,138.13098517,36.02485976
511,77610,261,10,0,195606,138.13097913,36.02486637
511,77610,261,10,0,195607,138.13097309,36.02487297
511,77610,261,10,0,195608,138.13096705,36.02487958
511,77610,261,10,0,195609,138.13096101,36.02488618
511,77610,261,10,0,195610,138.13095496,36.02489279
511,77610,261,10,0,195611,138.13094888,36.02489937
511,77610,261,10,0,195612,138.13094278,36.02490593
511,77610,261,10,0,195613,138.13093667,36.0249125
511,77610,261,10,0,195614,138.13093057,36.02491907
511,77610,261,10,0,195615,138.13092446,36.02492564
511,77610,261,10,0,195616,138.13091836,36.02493221
511,77610,261,10,0,195617,138.13091225,36.02493877
