Branch,Depot,Line,Direction,W,Distance,Lon,Lat
418,77610,266,22,0,0,139.4136156,35.69820432
418,77610,266,22,0,1,139.41360413,35.69820436
418,77610,266,22,0,2,139.41359265,35.69820439
418,77610,266,22,0,3,139.41358118,35.69820443
418,77610,266,22,0,4,139.41356971,35.69820447
418,77610,266,22,0,5,139.41355824,35.69820451
418,77610,266,22,0,6,139.41354676,35.69820454
418,77610,266,22,0,7,139.41353529,35.69820458
418,77610,266,22,0,8,139.41352382,35.69820462
418,77610,266,22,0,9,139.41351235,35.69820465
418,77610,266,22,0,10,139.41350087,35.69820469
418,77610,266,22,0,11,139.4134894,35.69820473
418,77610,266,22,0,12,139.41347793,35.69820477
418,77610,266,22,0,13,139.41346646,35.6982048
418,77610,266,22,0,14,139.41345498,35.69820484
418,77610,266,22,0,15,139.41344351,35.69820488
418,77610,266,22,0,16,139.41343204,35.69820491
418,77610,266,22,0,17,139.41342057,35.69820495
418,77610,266,22,0,18,139.41340909,35.69820499
418,77610,266,22,0,19,139.41339762,35.69820503
418,77610,266,22,0,20,139.41338615,35.69820506
418,77610,266,22,0,21,139.41337468,35.6982051
418,77610,266,22,0,22,139.4133632,35.69820514
418,77610,266,22,0,23,139.41335173,35.69820517
418,77610,266,22,0,24,139.41334026,35.69820521
418,77610,266,22,0,25,139.41332879,35.69820525
418,77610,266,22,0,26,139.41331731,35.69820529
418,77610,266,22,0,27,139.41330584,35.69820532
418,77610,266,22,0,28,139.41329437,35.69820536
418,77610,266,22,0,29,139.4132829,35.6982054
418,77610,266,22,0,30,139.41327142,35.69820543
418,77610,266,22,0,31,139.41325995,35.69820547
418,77610,266,22,0,32,139.41324848,35.69820551
418,77610,266,22,0,33,139.41323701,35.69820557
418,77610,266,22,0,34,139.41322554,35.69820567
418,77610,266,22,0,35,139.41321406,35.69820576
418,77610,266,22,0,36,139.41320259,35.69820586
418,77610,266,22,0,37,139.41319112,35.69820596
418,77610,266,22,0,38,139.41317965,35.69820605
418,77610,266,22,0,39,139.41316817,35.69820615
418,77610,266,22,0,40,139.4131567,35.69820624
418,77610,266,22,0,41,139.41314522,35.69820634
418,77610,266,22,0,42,139.41313375,35.69820646
418,77610,266,22,0,43,139.4131223,35.69820659
418,77610,266,22,0,44,139.41311085,35.69820673
418,77610,266,22,0,45,139.41309939,35.69820686
418,77610,266,22,0,46,139.41308794,35.69820699
418,77610,266,22,0,47,139.41307646,35.69820713
418,77610,266,22,0,48,139.41306499,35.69820726
418,77610,266,22,0,49,139.41305351,35.6982074
418,77610,266,22,0,50,139.41304204,35.69820753
418,77610,266,22,0,51,139.41303056,35.69820767
418,77610,266,22,0,52,139.41301909,35.6982078
418,77610,266,22,0,53,139.41300762,35.69820794
418,77610,266,22,0,54,139.41299614,35.69820807
418,77610,266,22,0,55,139.41298467,35.6982082
418,77610,266,22,0,56,139.41297319,35.69820834
418,77610,266,22,0,57,139.41296172,35.69820847
418,77610,266,22,0,58,139.41295024,35.69820861
418,77610,266,22,0,59,139.41293877,35.69820874
418,77610,266,22,0,60,139.4129273,35.69820888
418,77610,266,22,0,61,139.41291582,35.69820901
418,77610,266,22,0,62,139.41290435,35.69820914
418,77610,266,22,0,63,139.41289287,35.69820928
418,77610,266,22,0,64,139.41288141,35.69820937
418,77610,266,22,0,65,139.41286994,35.69820946
418,77610,266,22,0,66,139.41285847,35.69820955
418,77610,266,22,0,67,139.41284701,35.69820964
418,77610,266,22,0,68,139.41283554,35.69820973
418,77610,266,22,0,69,139.41282407,35.69820982
418,77610,266,22,0,70,139.41281259,35.69820991
418,77610,266,22,0,71,139.41280112,35.69820999
418,77610,266,22,0,72,139.41278965,35.69821008
418,77610,266,22,0,73,139.41277817,35.69821016
418,77610,266,22,0,74,139.4127667,35.69821018
418,77610,266,22,0,75,139.41275523,35.69821008
418,77610,266,22,0,76,139.41274376,35.69820997
418,77610,266,22,0,77,139.41273228,35.69820986
418,77610,266,22,0,78,139.41272081,35.69820975
418,77610,266,22,0,79,139.41270934,35.69820964
418,77610,266,22,0,80,139.41269787,35.69820953
418,77610,266,22,0,81,139.4126864,35.69820944
418,77610,266,22,0,82,139.41267493,35.69820954
418,77610,266,22,0,83,139.41266346,35.69820963
418,77610,266,22,0,84,139.41265199,35.69820973
418,77610,266,22,0,85,139.41264052,35.69820983
418,77610,266,22,0,86,139.41262906,35.69820993
418,77610,266,22,0,87,139.41261759,35.69821002
418,77610,266,22,0,88,139.41260612,35.69821012
418,77610,266,22,0,89,139.41259465,35.69821022
418,77610,266,22,0,90,139.41258318,35.69821031
418,77610,266,22,0,91,139.41257171,35.69821041
418,77610,266,22,0,92,139.41256024,35.69821051
418,77610,266,22,0,93,139.41254877,35.69821055
418,77610,266,22,0,94,139.4125373,35.69821058
418,77610,266,22,0,95,139.41252582,35.69821061
418,77610,266,22,0,96,139.41251435,35.69821065
418,77610,266,22,0,97,139.41250287,35.69821068
418,77610,266,22,0,98,139.4124914,35.69821071
418,77610,266,22,0,99,139.41247993,35.69821074
418,77610,266,22,0,100,139.41246845,35.69821078
418,77610,266,22,0,101,139.41245699,35.69821081
418,77610,266,22,0,102,139.41244552,35.69821084
418,77610,266,22,0,103,139.41243405,35.69821087
418,77610,266,22,0,104,139.41242259,35.69821091
418,77610,266,22,0,105,139.41241112,35.69821094
418,77610,266,22,0,106,139.41239965,35.69821097
418,77610,266,22,0,107,139.41238818,35.698211
418,77610,266,22,0,108,139.41237672,35.69821104
418,77610,266,22,0,109,139.41236525,35.69821107
418,77610,266,22,0,110,139.41235378,35.6982111
418,77610,266,22,0,111,139.41234232,35.69821113
418,77610,266,22,0,112,139.41233085,35.69821117
418,77610,266,22,0,113,139.41231938,35.6982112
418,77610,266,22,0,114,139.41230791,35.69821123
418,77610,266,22,0,115,139.41229644,35.6982113
418,77610,266,22,0,116,139.41228496,35.69821138
418,77610,266,22,0,117,139.41227349,35.69821145
418,77610,266,22,0,118,139.41226202,35.69821152
418,77610,266,22,0,119,139.41225054,35.69821159
418,77610,266,22,0,120,139.41223907,35.69821166
418,77610,266,22,0,121,139.41222759,35.69821174
418,77610,266,22,0,122,139.41221612,35.69821181
418,77610,266,22,0,123,139.41220464,35.69821188
418,77610,266,22,0,124,139.41219317,35.69821195
418,77610,266,22,0,125,139.41218169,35.69821202
418,77610,266,22,0,126,139.41217022,35.6982121
418,77610,266,22,0,127,139.41215874,35.69821217
418,77610,266,22,0,128,139.41214727,35.69821224
418,77610,266,22,0,129,139.41213579,35.69821231
418,77610,266,22,0,130,139.41212432,35.69821238
418,77610,266,22,0,131,139.41211284,35.69821246
418,77610,266,22,0,132,139.41210137,35.69821253
418,77610,266,22,0,133,139.41208989,35.6982126
418,77610,266,22,0,134,139.41207842,35.69821267
418,77610,266,22,0,135,139.41206694,35.69821274
418,77610,266,22,0,136,139.41205547,35.69821282
418,77610,266,22,0,137,139.412044,35.69821285
418,77610,266,22,0,138,139.41203253,35.69821287
418,77610,266,22,0,139,139.41202107,35.6982129
418,77610,266,22,0,140,139.4120096,35.69821293
418,77610,266,22,0,141,139.41199813,35.69821295
418,77610,266,22,0,142,139.41198667,35.69821298
418,77610,266,22,0,143,139.4119752,35.69821301
418,77610,266,22,0,144,139.41196373,35.69821303
418,77610,266,22,0,145,139.41195226,35.69821306
418,77610,266,22,0,146,139.4119408,35.69821309
418,77610,266,22,0,147,139.41192933,35.69821311
418,77610,266,22,0,148,139.41191786,35.69821314
418,77610,266,22,0,149,139.4119064,35.69821317
418,77610,266,22,0,150,139.41189493,35.69821319
418,77610,266,22,0,151,139.41188346,35.69821322
418,77610,266,22,0,152,139.41187199,35.69821325
418,77610,266,22,0,153,139.41186053,35.69821327
418,77610,266,22,0,154,139.41184906,35.69821333
418,77610,266,22,0,155,139.41183759,35.69821344
418,77610,266,22,0,156,139.41182612,35.69821355
418,77610,266,22,0,157,139.41181465,35.69821366
418,77610,266,22,0,158,139.41180318,35.69821377
418,77610,266,22,0,159,139.41179171,35.69821389
418,77610,266,22,0,160,139.41178024,35.698214
418,77610,266,22,0,161,139.41176876,35.69821411
418,77610,266,22,0,162,139.41175729,35.69821422
418,77610,266,22,0,163,139.41174582,35.69821433
418,77610,266,22,0,164,139.41173435,35.69821444
418,77610,266,22,0,165,139.41172288,35.69821455
418,77610,266,22,0,166,139.41171141,35.69821467
418,77610,266,22,0,167,139.41169994,35.69821478
418,77610,266,22,0,168,139.41168847,35.69821489
418,77610,266,22,0,169,139.411677,35.698215
418,77610,266,22,0,170,139.41166553,35.69821511
418,77610,266,22,0,171,139.41165406,35.69821522
418,77610,266,22,0,172,139.41164258,35.69821532
418,77610,266,22,0,173,139.41163111,35.69821542
418,77610,266,22,0,174,139.41161963,35.69821552
418,77610,266,22,0,175,139.41160816,35.69821562
418,77610,266,22,0,176,139.41159669,35.69821572
418,77610,266,22,0,177,139.41158521,35.69821582
418,77610,266,22,0,178,139.41157374,35.69821592
418,77610,266,22,0,179,139.41156226,35.69821602
418,77610,266,22,0,180,139.41155079,35.69821611
418,77610,266,22,0,181,139.41153931,35.69821621
418,77610,266,22,0,182,139.41152784,35.69821631
418,77610,266,22,0,183,139.41151637,35.69821641
418,77610,266,22,0,184,139.41150489,35.69821651
418,77610,266,22,0,185,139.41149342,35.69821661
418,77610,266,22,0,186,139.41148194,35.69821671
418,77610,266,22,0,187,139.41147047,35.69821681
418,77610,266,22,0,188,139.41145899,35.69821691
418,77610,266,22,0,189,139.41144752,35.69821701
418,77610,266,22,0,190,139.41143604,35.69821711
418,77610,266,22,0,191,139.41142457,35.69821721
418,77610,266,22,0,192,139.4114131,35.69821731
418,77610,266,22,0,193,139.41140163,35.6982176
418,77610,266,22,0,194,139.41139017,35.69821799
418,77610,266,22,0,195,139.41137871,35.69821837
418,77610,266,22,0,196,139.41136725,35.69821876
418,77610,266,22,0,197,139.41135578,35.69821915
