Branch,Depot,Line,Direction,W,Distance,Lon,Lat
418,77610,267,10,0,0,139.4134987,35.6974621
418,77610,267,10,0,1,139.41348835,35.69746199
418,77610,267,10,0,2,139.41347799,35.69746187
418,77610,267,10,0,3,139.41346764,35.69746176
418,77610,267,10,0,4,139.41345728,35.69746165
418,77610,267,10,0,5,139.41344693,35.69746154
418,77610,267,10,0,6,139.41343657,35.69746142
418,77610,267,10,0,7,139.41342622,35.69746131
418,77610,267,10,0,8,139.41341586,35.6974612
418,77610,267,10,0,9,139.41340551,35.69746108
418,77610,267,10,0,10,139.41339515,35.69746097
418,77610,267,10,0,11,139.4133848,35.69746086
418,77610,267,10,0,12,139.41337444,35.69746074
418,77610,267,10,0,13,139.41336409,35.69746063
418,77610,267,10,0,14,139.41335373,35.69746052
418,77610,267,10,0,15,139.41334338,35.69746041
418,77610,267,10,0,16,139.41333303,35.69746029
418,77610,267,10,0,17,139.41332267,35.69746018
418,77610,267,10,0,18,139.41331232,35.69746007
418,77610,267,10,0,19,139.41330196,35.69745995
418,77610,267,10,0,20,139.41329161,35.69745984
418,77610,267,10,0,21,139.41328125,35.69745973
418,77610,267,10,0,22,139.4132709,35.69745962
418,77610,267,10,0,23,139.41326054,35.6974595
418,77610,267,10,0,24,139.41325019,35.69745939
418,77610,267,10,0,25,139.41323983,35.69745928
418,77610,267,10,0,26,139.41322948,35.69745916
418,77610,267,10,0,27,139.41321912,35.69745905
418,77610,267,10,0,28,139.41320877,35.69745894
418,77610,267,10,0,29,139.41319841,35.69745882
418,77610,267,10,0,30,139.41318806,35.69745871
418,77610,267,10,0,31,139.41317771,35.6974586
418,77610,267,10,0,32,139.41316735,35.69745849
418,77610,267,10,0,33,139.413157,35.69745837
418,77610,267,10,0,34,139.41314664,35.69745826
418,77610,267,10,0,35,139.41313629,35.6974582
418,77610,267,10,0,36,139.41312594,35.69745851
418,77610,267,10,0,37,139.41311559,35.69745883
418,77610,267,10,0,38,139.41310524,35.69745914
418,77610,267,10,0,39,139.41309489,35.69745946
418,77610,267,10,0,40,139.41308454,35.69745977
418,77610,267,10,0,41,139.41307418,35.69746009
418,77610,267,10,0,42,139.41306383,35.69746041
418,77610,267,10,0,43,139.41305348,35.69746072
418,77610,267,10,0,44,139.41304316,35.69746116
418,77610,267,10,0,45,139.41303283,35.69746159
418,77610,267,10,0,46,139.4130225,35.69746202
418,77610,267,10,0,47,139.41301218,35.69746252
418,77610,267,10,0,48,139.41300187,35.69746316
418,77610,267,10,0,49,139.41299155,35.69746381
418,77610,267,10,0,50,139.41298124,35.69746446
418,77610,267,10,0,51,139.41297091,35.6974651
418,77610,267,10,0,52,139.41296058,35.69746575
418,77610,267,10,0,53,139.41295024,35.69746639
418,77610,267,10,0,54,139.4129399,35.69746704
418,77610,267,10,0,55,139.41292962,35.69746803
418,77610,267,10,0,56,139.41291936,35.69746913
418,77610,267,10,0,57,139.4129091,35.69747023
418,77610,267,10,0,58,139.41289884,35.69747133
418,77610,267,10,0,59,139.41288858,35.69747243
418,77610,267,10,0,60,139.41287831,35.69747352
418,77610,267,10,0,61,139.41286805,35.69747462
418,77610,267,10,0,62,139.41285779,35.69747572
418,77610,267,10,0,63,139.41284754,35.69747697
418,77610,267,10,0,64,139.4128373,35.69747822
418,77610,267,10,0,65,139.41282705,35.69747946
418,77610,267,10,0,66,139.4128168,35.69748071
418,77610,267,10,0,67,139.41280655,35.69748196
418,77610,267,10,0,68,139.4127963,35.69748321
418,77610,267,10,0,69,139.41278605,35.69748446
418,77610,267,10,0,70,139.41277581,35.6974857
418,77610,267,10,0,71,139.41276558,35.69748703
418,77610,267,10,0,72,139.4127554,35.69748854
418,77610,267,10,0,73,139.41274522,35.69749006
418,77610,267,10,0,74,139.41273504,35.69749157
418,77610,267,10,0,75,139.41272486,35.69749309
418,77610,267,10,0,76,139.41271468,35.6974946
418,77610,267,10,0,77,139.4127045,35.69749611
418,77610,267,10,0,78,139.41269432,35.69749763
418,77610,267,10,0,79,139.41268414,35.69749916
418,77610,267,10,0,80,139.41267401,35.69750088
418,77610,267,10,0,81,139.41266387,35.69750261
418,77610,267,10,0,82,139.41265373,35.69750434
418,77610,267,10,0,83,139.41264359,35.69750606
418,77610,267,10,0,84,139.41263345,35.69750779
418,77610,267,10,0,85,139.41262338,35.69750973
418,77610,267,10,0,86,139.41261333,35.69751173
418,77610,267,10,0,87,139.41260327,35.69751373
418,77610,267,10,0,88,139.41259322,35.69751573
418,77610,267,10,0,89,139.41258317,35.69751774
418,77610,267,10,0,90,139.41257312,35.69751974
418,77610,267,10,0,91,139.41256306,35.69752174
418,77610,267,10,0,92,139.41255301,35.69752374
418,77610,267,10,0,93,139.41254295,35.69752574
418,77610,267,10,0,94,139.41253289,35.69752774
418,77610,267,10,0,95,139.41252283,35.69752973
